Time: 11.82, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 14.36, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.61, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.3, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.57, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.23, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.98, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 14.21, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 13.1, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.44, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.47, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.44, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.03, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.25, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 18.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.26, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.35, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 17.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.19, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 27.84, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.74, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.4, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.66, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.68, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.82, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.76, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.51, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 13.23, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 67.88, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 79.23, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 90.43, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 100.43, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 13.25, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 13.52, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 13.85, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 68.7, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 81.45, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 93.4, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 102.55, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 14.21, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 14.07, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 14.52, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 96.73, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 106.33, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 13.64, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 97.31, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 106.51, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 12.61, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 29.24, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.6, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 14.16, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.37, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.71, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.94, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 69.84, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 83.49, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 95.69, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 105.89, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 13.25, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.75, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.58, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
